list-none-none,1,10,1,30,63375,2112
list-none-none,1,100,1,300,147902,493
list-none-none,1,1000,1,3000,3665393,1221
list-none-none,1,10000,1,30000,657525993,21917
list-none-none,1,20000,1,60000,3572177153,59536
list-none-none,2,1,1,6,142392,23732
list-none-none,2,10,1,60,132661,2211
list-none-none,2,100,1,600,424472,707
list-none-none,4,1,1,12,138535,11544
list-none-none,4,10,1,120,180341,1502
list-none-none,4,1000,1,12000,57287477,4773
list-none-none,8,1,1,24,282949,11789
list-none-none,12,1,1,36,381291,10591
list-i-none,2,1,1,6,138148,23024
list-i-none,2,2,1,12,175191,14599
list-i-none,2,4,1,24,119586,4982
list-i-none,2,16,1,96,169024,1760
list-i-none,4,1,1,12,147754,12312
list-i-none,4,2,1,24,187175,7798
list-i-none,4,4,1,48,189507,3948
list-i-none,4,16,1,192,184574,961
list-i-none,12,1,1,36,346364,9621
list-d-none,2,1,1,6,78581,13096
list-d-none,2,2,1,12,134758,11229
list-d-none,2,4,1,24,105970,4415
list-d-none,2,8,1,48,100521,2094
list-d-none,2,16,1,96,83386,868
list-d-none,2,32,1,192,129173,672
list-d-none,4,1,1,12,106489,8874
list-d-none,4,2,1,24,162887,6786
list-d-none,4,4,1,48,112482,2343
list-d-none,4,8,1,96,184681,1923
list-d-none,8,1,1,24,283544,11814
list-d-none,8,4,1,96,288171,3001
list-d-none,12,2,1,72,389206,5405
list-d-none,12,4,1,144,362247,2515
list-il-none,2,1,1,6,101127,16854
list-il-none,2,2,1,12,112809,9400
list-il-none,2,4,1,24,118053,4918
list-il-none,2,8,1,48,88714,1848
list-il-none,2,32,1,192,331725,1727
list-il-none,4,1,1,12,160884,13407
list-il-none,4,2,1,24,162365,6765
list-il-none,4,4,1,48,123327,2569
list-il-none,4,8,1,96,183679,1913
list-il-none,4,16,1,192,248689,1295
list-il-none,8,1,1,24,255515,10646
list-il-none,8,2,1,48,243294,5068
list-il-none,12,1,1,36,274976,7638
list-il-none,12,2,1,72,281756,3913
list-il-none,12,16,1,576,603520,1047
list-dl-none,2,1,1,6,108533,18088
list-dl-none,2,2,1,12,87229,7269
list-dl-none,2,4,1,24,117466,4894
list-dl-none,2,16,1,96,147650,1538
list-dl-none,4,1,1,12,174503,14541
list-dl-none,4,2,1,24,150824,6284
list-dl-none,4,4,1,48,208593,4345
list-dl-none,8,1,1,24,238148,9922
list-dl-none,8,2,1,48,219445,4571
list-dl-none,8,8,1,192,263554,1372
list-dl-none,12,1,1,36,334908,9303
list-dl-none,12,2,1,72,306632,4258
list-dl-none,12,16,1,576,554832,963
list-i-m,12,32,1,1152,1655461,1437
list-d-m,12,32,1,1152,2206019,1914
list-il-m,12,32,1,1152,6824276,5923
list-dl-m,12,32,1,1152,8425788,7314
list-i-s,12,32,1,1152,2615499,2270
list-d-s,12,32,1,1152,3580643,3108
list-il-s,12,32,1,1152,21100433,18316
list-dl-s,12,32,1,1152,23108124,20059
list-none-none,1,1000,1,3000,3764018,1254
list-none-m,1,1000,1,3000,3801574,1267
list-none-m,2,1000,1,6000,22126382,3687
list-none-m,4,1000,1,12000,92480184,7706
list-none-m,8,1000,1,24000,449529466,18730
list-none-m,12,1000,1,36000,996555748,27682
list-none-m,16,1000,1,48000,1893634605,39450
list-none-m,24,1000,1,72000,4825745791,67024
list-none-s,1,1000,1,3000,3926761,1308
list-none-s,2,1000,1,6000,42548408,7091
list-none-s,4,1000,1,12000,196005037,16333
list-none-s,8,1000,1,24000,1591732447,66322
list-none-s,12,1000,1,36000,1191902646,33108
list-none-s,16,1000,1,48000,7330817797,152725
list-none-s,24,1000,1,72000,43990778301,610983
